[INFO ] [2024-06-27 20:27:39,223] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:39,224] Upload - Step 18: Verify image display File Three
[INFO ] [2024-06-27 20:27:39,250] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:39,250] Upload - Step 19: Verify image display File Four
[INFO ] [2024-06-27 20:27:39,279] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:39,280] Upload - Step 20: Verify image display File Five
[INFO ] [2024-06-27 20:27:39,303] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:39,303] Upload - Step 21: Verify image display File Six
[INFO ] [2024-06-27 20:27:39,328] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:48,182] Upload - Step 01: Load single file
[INFO ] [2024-06-27 20:27:51,253] Upload - Step 02: Verify
[INFO ] [2024-06-27 20:27:51,360] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:51,360] Upload - Step 03: Click To star button
[INFO ] [2024-06-27 20:27:51,458] Upload - Step 04: Verify upload
[INFO ] [2024-06-27 20:27:53,319] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:53,319] Upload - Step 05: Verify image displayd
[INFO ] [2024-06-27 20:27:53,927] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:53,929] Upload - Step 01: Refresh page
[INFO ] [2024-06-27 20:27:54,380] Upload - Step 02: Load single file
[INFO ] [2024-06-27 20:27:57,458] Upload - Step 03: Verify File One
[INFO ] [2024-06-27 20:27:57,517] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:57,517] Upload - Step 04: Verify File Two
[INFO ] [2024-06-27 20:27:57,582] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:57,583] Upload - Step 05: Verify File Three
[INFO ] [2024-06-27 20:27:57,641] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:57,641] Upload - Step 06: Verify File Four
[INFO ] [2024-06-27 20:27:57,692] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:57,692] Upload - Step 07: Verify File Five
[INFO ] [2024-06-27 20:27:57,748] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:57,748] Upload - Step 08: Verify File Six
[INFO ] [2024-06-27 20:27:57,807] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:57,807] Upload - Step 09: Click To star button
[INFO ] [2024-06-27 20:27:58,219] Upload - Step 10: Verify upload File One
[INFO ] [2024-06-27 20:27:59,760] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:59,760] Upload - Step 11: Verify upload File Two
[INFO ] [2024-06-27 20:27:59,953] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:27:59,953] Upload - Step 12: Verify upload File Three
[INFO ] [2024-06-27 20:28:00,005] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:28:00,005] Upload - Step 13: Verify upload File Four
[INFO ] [2024-06-27 20:28:00,057] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:28:00,057] Upload - Step 14: Verify upload File Five
[INFO ] [2024-06-27 20:28:00,104] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:28:00,104] Upload - Step 15: Verify upload File Six
[INFO ] [2024-06-27 20:28:01,084] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:28:01,084] Upload - Step 16: Verify image display File One
[INFO ] [2024-06-27 20:28:01,128] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:28:01,129] Upload - Step 17: Verify image display File Two
[INFO ] [2024-06-27 20:28:01,187] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:28:01,188] Upload - Step 18: Verify image display File Three
[INFO ] [2024-06-27 20:28:01,230] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:28:01,230] Upload - Step 19: Verify image display File Four
[INFO ] [2024-06-27 20:28:01,275] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:28:01,275] Upload - Step 20: Verify image display File Five
[INFO ] [2024-06-27 20:28:01,325] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:28:01,325] Upload - Step 21: Verify image display File Six
[INFO ] [2024-06-27 20:28:01,374] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:19,919] Upload - Step 01: Load single file
[INFO ] [2024-06-27 20:31:23,009] Upload - Step 02: Verify
[INFO ] [2024-06-27 20:31:23,079] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:23,079] Upload - Step 03: Click To star button
[INFO ] [2024-06-27 20:31:23,357] Upload - Step 04: Verify upload
[INFO ] [2024-06-27 20:31:25,138] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:25,138] Upload - Step 05: Verify image displayd
[INFO ] [2024-06-27 20:31:25,174] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:25,184] Upload - Step 01: Refresh page
[INFO ] [2024-06-27 20:31:29,045] Upload - Step 02: Load single file
[INFO ] [2024-06-27 20:31:32,084] Upload - Step 03: Verify File One
[INFO ] [2024-06-27 20:31:32,129] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:32,130] Upload - Step 04: Verify File Two
[INFO ] [2024-06-27 20:31:32,171] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:32,171] Upload - Step 05: Verify File Three
[INFO ] [2024-06-27 20:31:32,213] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:32,214] Upload - Step 06: Verify File Four
[INFO ] [2024-06-27 20:31:32,253] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:32,253] Upload - Step 07: Verify File Five
[INFO ] [2024-06-27 20:31:32,296] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:32,297] Upload - Step 08: Verify File Six
[INFO ] [2024-06-27 20:31:32,339] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:32,339] Upload - Step 09: Click To star button
[INFO ] [2024-06-27 20:31:33,808] Upload - Step 10: Verify upload File One
[INFO ] [2024-06-27 20:31:34,092] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:34,093] Upload - Step 11: Verify upload File Two
[INFO ] [2024-06-27 20:31:35,435] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:35,436] Upload - Step 12: Verify upload File Three
[INFO ] [2024-06-27 20:31:35,479] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:35,480] Upload - Step 13: Verify upload File Four
[INFO ] [2024-06-27 20:31:35,519] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:35,519] Upload - Step 14: Verify upload File Five
[INFO ] [2024-06-27 20:31:35,559] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:35,559] Upload - Step 15: Verify upload File Six
[INFO ] [2024-06-27 20:31:37,837] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:37,838] Upload - Step 16: Verify image display File One
[INFO ] [2024-06-27 20:31:37,871] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:37,871] Upload - Step 17: Verify image display File Two
[INFO ] [2024-06-27 20:31:37,906] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:37,906] Upload - Step 18: Verify image display File Three
[INFO ] [2024-06-27 20:31:37,937] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:37,937] Upload - Step 19: Verify image display File Four
[INFO ] [2024-06-27 20:31:37,963] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:37,963] Upload - Step 20: Verify image display File Five
[INFO ] [2024-06-27 20:31:37,987] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:37,988] Upload - Step 21: Verify image display File Six
[INFO ] [2024-06-27 20:31:38,012] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:42,916] Upload - Step 01: Load single file
[INFO ] [2024-06-27 20:31:45,988] Upload - Step 02: Verify
[INFO ] [2024-06-27 20:31:46,059] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:46,059] Upload - Step 03: Click To star button
[INFO ] [2024-06-27 20:31:46,165] Upload - Step 04: Verify upload
[INFO ] [2024-06-27 20:31:48,241] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:48,242] Upload - Step 05: Verify image displayd
[INFO ] [2024-06-27 20:31:48,930] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:48,935] Upload - Step 01: Refresh page
[INFO ] [2024-06-27 20:31:49,081] Upload - Step 02: Load single file
[INFO ] [2024-06-27 20:31:52,137] Upload - Step 03: Verify File One
[INFO ] [2024-06-27 20:31:52,198] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:52,198] Upload - Step 04: Verify File Two
[INFO ] [2024-06-27 20:31:52,243] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:52,243] Upload - Step 05: Verify File Three
[INFO ] [2024-06-27 20:31:52,284] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:52,284] Upload - Step 06: Verify File Four
[INFO ] [2024-06-27 20:31:52,330] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:52,330] Upload - Step 07: Verify File Five
[INFO ] [2024-06-27 20:31:52,380] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:52,380] Upload - Step 08: Verify File Six
[INFO ] [2024-06-27 20:31:52,446] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:52,447] Upload - Step 09: Click To star button
[INFO ] [2024-06-27 20:31:52,889] Upload - Step 10: Verify upload File One
[INFO ] [2024-06-27 20:31:54,875] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:54,875] Upload - Step 11: Verify upload File Two
[INFO ] [2024-06-27 20:31:55,020] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:55,021] Upload - Step 12: Verify upload File Three
[INFO ] [2024-06-27 20:31:55,081] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:55,082] Upload - Step 13: Verify upload File Four
[INFO ] [2024-06-27 20:31:55,136] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:55,136] Upload - Step 14: Verify upload File Five
[INFO ] [2024-06-27 20:31:55,196] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:55,196] Upload - Step 15: Verify upload File Six
[INFO ] [2024-06-27 20:31:56,348] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:56,348] Upload - Step 16: Verify image display File One
[INFO ] [2024-06-27 20:31:56,408] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:56,408] Upload - Step 17: Verify image display File Two
[INFO ] [2024-06-27 20:31:56,451] ---------------------- Passed -----------------------
[INFO ] [2024-06-27 20:31:56,451] Upload - Step 18: Verify image display File Three
[INFO ] [2024-06-27 20:31:56,496] ---------------------- Passed -----------------------
